Date,Value
2019-01-31,3.258064516129
2018-12-31,2.710027100271
2018-11-30,3.0310380055711
2018-10-31,3.5431866060539
2018-09-30,3.2846441947566
2018-08-31,3.9803921568627
2018-07-31,3.4494653328734
2018-06-30,3.274505896925
2018-05-31,3.5727045373348
2018-04-30,2.4396194193706
2018-03-31,3.6530442035029
2018-02-28,2.8733660130719
2018-01-31,4.0832993058391
2017-12-31,3.0531461689265
2017-11-30,3.251209359883
2017-10-31,3.634089556872
2017-09-30,3.5438596491228
2017-08-31,3.3400193216883
2017-07-31,3.75
2017-06-30,3.5100035100035
2017-05-31,2.8985507246377
2017-04-30,4.04
2017-03-31,4.3275833973508
2017-02-28,6.2893081761006
2017-01-31,3.2136004229711
2016-12-31,3.3823326432022
2016-11-30,3.3467202141901
2016-10-31,3.8759689922481
2016-09-30,4.5370124701512
2016-08-31,3.3707865168539
2016-07-31,2.7523624235687
2016-06-30,3.6225178330441
2016-05-31,4.400365091365
2016-04-30,3.8759689922481
2016-03-31,3.8910505836576
2016-02-29,3.3585608796669
2016-01-31,5.2262729597768
2015-12-31,3.8329317741082
2015-11-30,3.4494653328734
2015-10-31,3.4317985859631
2015-09-30,4.0160642570281
2015-08-31,3.7998729311197
2015-07-31,3.2114442788285
2015-06-30,3.3743409490334
2015-05-31,3.3361134278565
2015-04-30,3.3377971825657
2015-03-31,3.8535788535788
2015-02-28,3.2421134997117
2015-01-31,4.9211841599385
2014-12-31,4.5454545454545
2014-11-30,4.5266166488031
2014-10-31,4.718535306087
2014-09-30,4.9264836559425
2014-08-31,4.9859943977591
2014-07-31,4.5490416992402
2014-06-30,4.3849361229782
2014-05-31,4.4994944388271
2014-04-30,3.5326873178097
2014-03-31,4.4301536262951
2014-02-28,4.2553191489362
2014-01-31,6.6711140760507
2013-12-31,6.5693325900131
2013-11-30,5.5581288110125
2013-10-31,4.7065337763012
2013-09-30,4.7426408760189
2013-08-31,4.8582995951417
2013-07-31,4.9157237152287
2013-06-30,4.1414141414141
2013-05-31,4.331560540086
2013-04-30,5.05
2013-03-31,5.2877790682669
2013-02-28,4.7656870532168
2013-01-31,5.2521008403361
2012-12-31,5.1187445692753
2012-11-30,5.3233297606288
2012-10-31,5.6380104878436
2012-09-30,4.7664442326025
2012-08-31,5.2263065766442
2012-07-31,5.0424257475505
2012-06-30,4.8232009925558
2012-05-31,3.8647342995169
2012-04-30,4.8169556840077
2012-03-31,4.3859649122807
2012-02-29,4.5662100456621
2012-01-31,4.3638915136113
2011-12-31,5.788069372975
2011-11-30,6.4981238964097
2011-10-31,5.0275137568784
2011-09-30,5.7428571428571
2011-08-31,5.5710306406685
2011-07-31,4.7846889952153
2011-06-30,5.566382951035
2011-05-31,4.7653088242574
2011-04-30,4.9996569535515
2011-03-31,6.2610320075312
2011-02-28,5.8139534883721
2011-01-31,5.0496311811311
2010-12-31,4.9720323182101
2010-11-30,5.0728987993139
2010-10-31,5.2724077328647
2010-09-30,5.0025012506253
